District,DistrictCode,IDE,TotalEmployees,EPP,Total,Pupils,TotalEPP
Nashoba,7250000,59647501,3107,19195,62926088,3244,19399
Nashoba Valley Regional Vocational Technical,8520000,15826365,733,21594,15851420,734,21587
Natick,1980000,90177659,5329,16921,99428601,5472,18169
Nauset,6600000,32201968,1360,23685,37122883,1525,24341
Needham,1990000,121188348,5562,21790,128972522,5655,22808
Neighborhood House Charter (District),4440000,17942750,793,22621,17942750,793,22621
New Bedford,2010000,241063736,12745,18915,274379299,14562,18843
New Heights Charter School of Brockton (District),35130000,13699103,732,18706,13699103,732,18706
New Salem-Wendell,7280000,3490903,131,26628,3558004,141,25306
Newburyport,2040000,43331840,2183,19852,49672111,2379,20881
Newton,2070000,284598150,12074,23571,300003740,12234,24522
Norfolk,2080000,17359183,1048,16567,17962423,1069,16805
Norfolk County Agricultural,9150000,15027466,585,25710,15027466,585,25710
North Adams,2090000,28349686,1262,22462,31501349,1477,21335
North Andover,2110000,74947846,4543,16496,81081409,4658,17409
North Attleborough,2120000,60477078,4035,14989,67397295,4257,15834
North Brookfield,2150000,8624767,470,18339,10429308,640,16286
North Middlesex,7350000,51847286,3025,17138,60026144,3227,18599
North Reading,2170000,44130619,2332,18922,47288600,2371,19942
Northampton,2100000,49616014,2670,18581,54758819,2940,18624
Northampton-Smith Vocational Agricultural,4060000,12876484,540,23828,12876484,540,23828
Northboro-Southboro,7300000,26325037,1263,20837,28051620,1297,21625
Northborough,2130000,31342815,1572,19945,33885244,1660,20412
Northbridge,2140000,32413864,1978,16387,37039644,2198,16851
Northeast Metropolitan Regional Vocational Technical,8530000,31239641,1294,24138,31245321,1298,24070
Northern Berkshire Regional Vocational Technical,8510000,12054339,504,23932,12088957,510,23718
Norton,2180000,42173645,2383,17698,47510639,2501,18998
Norwell,2190000,38304641,2184,17537,42218059,2234,18899
Norwood,2200000,69141638,3514,19674,77662539,3678,21115
Oak Bluffs,2210000,11637763,435,26760,13500662,497,27159
Old Colony Regional Vocational Technical,8550000,13394281,554,24182,13409281,557,24078
Old Rochester,7400000,21887236,1091,20071,22225087,1114,19953
Old Sturbridge Academy Charter Public School (District),35150000,4952966,323,15346,4952966,323,15346
Orange,2230000,9234042,528,17489,10324262,612,16875
Orleans,2240000,5706706,164,34861,5953780,173,34375
Oxford,2260000,26228197,1466,17890,29467637,1607,18334
Palmer,2270000,20432060,1178,17343,23940574,1339,17875
Pathfinder Regional Vocational Technical,8600000,15695031,617,25421,15860112,638,24844
Paulo Freire Social Justice Charter School (District),35010000,5463025,244,22387,5463025,244,22387
Peabody,2290000,93684635,5990,15640,106110298,6243,16997
Pelham,2300000,2340922,119,19672,2412093,125,19297
Pembroke,2310000,42637119,2569,16596,48654508,2765,17596
Pentucket,7450000,38750554,2229,17388,43864067,2343,18725
Petersham,2340000,2302006,116,19811,2466599,126,19530
Phoenix Academy Public Charter High School Lawrence (District),35180000,2451741,121,20212,2451741,121,20212
Phoenix Academy Public Charter High School Springfield (District),35080000,3117693,170,18382,3117693,170,18382
Phoenix Charter Academy (District),4930000,4194194,186,22602,4194194,186,22602
Pioneer Charter School of Science (District),4940000,12782413,777,16446,12782413,777,16446
Pioneer Charter School of Science II (PCSS-II) (District),35060000,6117629,369,16564,6117629,369,16564
Pioneer Valley,7500000,14295520,638,22410,15713541,726,21632
Pioneer Valley Chinese Immersion Charter (District),4970000,8692993,564,15424,8692993,564,15424
Pioneer Valley Performing Arts Charter Public (District),4790000,6406853,394,16266,6406853,394,16266
Pittsfield,2360000,103454798,4949,20904,115517127,5766,20036
Plainville,2380000,11208190,657,17065,12564078,717,17526
Plymouth,2390000,145283972,7254,20027,163017310,7902,20629
Plympton,2400000,3819081,242,15788,4358020,253,17232
Prospect Hill Academy Charter (District),4870000,23373784,1094,21363,23373784,1094,21363
Provincetown,2420000,6831173,147,46471,7545221,173,43690
Quabbin,7530000,38543729,2223,17342,41785073,2324,17977
Quaboag Regional,7780000,20255900,1150,17609,22204270,1279,17359
Quincy,2430000,171116575,9630,17769,191236533,9877,19363
Ralph C Mahar,7550000,12509820,556,22520,14523838,663,21906
Randolph,2440000,62451873,2639,23664,73021414,3262,22386
Reading,2460000,64078556,3846,16663,69389905,3933,17643
Revere,2480000,126093690,7276,17330,152636509,8021,19031
Richmond,2490000,3588630,156,23019,4549328,208,21861
Rising Tide Charter Public (District),4830000,10734269,650,16506,10734269,650,16506
River Valley Charter (District),4820000,4426752,287,15426,4426752,287,15426
